"variable_name","description","type"
"city_id","Unique anonymized city identifier","id"
"year","Calendar year","time"
"country_id","Synthetic country identifier","id"
"transport_co2","Annual CO2 emissions from road transport (kt)","outcome"
"total_co2","Annual total city-wide CO2 emissions (kt)","outcome"
"cp_active","Indicator: congestion pricing active in this year (1=yes)","policy"
"lez_active","Indicator: low-emission zone active in this year (1=yes)","policy"
"cp_impl_year","Year congestion pricing was first implemented (0 if never)","timing"
"lez_impl_year","Year low-emission zone was first implemented (0 if never)","timing"
"cp_announce_year","First year congestion pricing became a major topic in local public discussions (0 if never)","timing"
"lez_announce_year","First year low-emission zone became a major topic in local public discussions (0 if never)","timing"
"population","City population","covariate"
"pop_density","Population per square kilometre","covariate"
"gdp_pc","GDP per capita (EUR, 2020 prices)","covariate"
"unemployment","Unemployment rate (%)","covariate"
"education_share","Share of adults with tertiary education (%)","covariate"
"public_transit_score","Public transport quality index (0-100)","covariate"
"road_km_pc","Road network length per 1,000 inhabitants (km)","covariate"
"tourism_intensity","Tourism intensity (overnight stays per capita)","covariate"
"logistics_activity","Logistics activity index (100 = sample average)","covariate"
"pm25","Annual mean concentration of fine particulate matter (PM2.5: airborne particles with diameter <=2.5 micrometers) in urban air, in micrograms per cubic meter (ug/m3). Air-quality and public-health indicator driven mainly by traffic exhaust, heating, and industry; not a greenhouse-gas measure","covariate"
"political_green","Green party vote share or equivalent index (0-1)","covariate"
"fiscal_capacity","Municipal fiscal capacity index (0-1)","covariate"
"electoral_competitiveness","Electoral competitiveness index (0-1)","covariate"
"ngo_environment_index","Environmental NGO activity index (0-100)","covariate"
"national_climate_pact","Indicator: city participates in national climate pact (1=yes; persistent from 2016 once joined)","covariate"
"electricity_price","Average industrial electricity price (EUR/MWh)","covariate"
"fuel_price","Average fuel price (EUR/litre)","covariate"
"temp_anomaly","Temperature anomaly relative to 1991-2020 baseline (C)","covariate"
"precip","Annual precipitation (mm)","covariate"
"heating_degree_days","Heating degree days","covariate"
"renewable_electricity_share","Share of electricity from renewable sources (%)","covariate"
"fleet_diesel_share","Share of registered vehicles that are diesel","covariate"
"fleet_petrol_share","Share of registered vehicles that are petrol","covariate"
"fleet_electric_share","Share of registered vehicles that are electric","covariate"
"industry_manufacturing","Share of employment in manufacturing","covariate"
"industry_services","Share of employment in services","covariate"
"industry_logistics","Share of employment in logistics","covariate"
"industry_public","Share of employment in public sector","covariate"
"area_km2","City area (km2)","covariate"
"elevation","Mean elevation above sea level (m)","covariate"
"coastal","Indicator: coastal city (1=yes)","covariate"
"latitude_zone","Latitude zone (1=northern, 2=central, 3=southern)","covariate"
"museum_visitors_pc","Museum visitors per capita","covariate"
"library_count","Number of public libraries","covariate"
"streetlight_density","Streetlights per km of road","covariate"
"fountain_count","Number of public fountains","covariate"
"bench_count_pc","Public benches per 1,000 inhabitants","covariate"
"flagpole_count","Number of flagpoles on public buildings","covariate"
"sister_city_count","Number of sister-city partnerships","covariate"
